model,Nx,Ny,L,components,component_dims,connected
I,2,2,4,1,4,True
I,2,3,6,1,6,True
I,3,3,9,1,9,True
I,3,4,12,1,12,True
I,4,4,16,1,16,True
I,5,5,25,1,25,True
I,6,6,36,1,36,True
I,7,7,49,1,49,True
I,7,9,63,1,63,True
I,8,8,64,1,64,True
I,9,9,81,1,81,True
II-xi0.5,2,2,4,1,4,True
II-xi0.5,2,3,6,1,6,True
II-xi0.5,3,3,9,1,9,True
II-xi0.5,3,4,12,1,12,True
II-xi0.5,4,4,16,1,16,True
II-xi0.5,5,5,25,1,25,True
II-xi0.5,6,6,36,1,36,True
II-xi0.5,7,7,49,1,49,True
II-xi0.5,7,9,63,1,63,True
II-xi0.5,8,8,64,1,64,True
II-xi0.5,9,9,81,1,81,True
II-xi1,2,2,4,1,4,True
II-xi1,2,3,6,1,6,True
II-xi1,3,3,9,1,9,True
II-xi1,3,4,12,1,12,True
II-xi1,4,4,16,1,16,True
II-xi1,5,5,25,1,25,True
II-xi1,6,6,36,1,36,True
II-xi1,7,7,49,1,49,True
II-xi1,7,9,63,1,63,True
II-xi1,8,8,64,1,64,True
II-xi1,9,9,81,1,81,True
II-xi1.5,2,2,4,1,4,True
II-xi1.5,2,3,6,1,6,True
II-xi1.5,3,3,9,1,9,True
II-xi1.5,3,4,12,1,12,True
II-xi1.5,4,4,16,1,16,True
II-xi1.5,5,5,25,1,25,True
II-xi1.5,6,6,36,1,36,True
II-xi1.5,7,7,49,1,49,True
II-xi1.5,7,9,63,1,63,True
II-xi1.5,8,8,64,1,64,True
II-xi1.5,9,9,81,1,81,True
II-xi2,2,2,4,1,4,True
II-xi2,2,3,6,1,6,True
II-xi2,3,3,9,1,9,True
II-xi2,3,4,12,1,12,True
II-xi2,4,4,16,1,16,True
II-xi2,5,5,25,1,25,True
II-xi2,6,6,36,1,36,True
II-xi2,7,7,49,1,49,True
II-xi2,7,9,63,1,63,True
II-xi2,8,8,64,1,64,True
II-xi2,9,9,81,1,81,True
