case,L,n,components,component_dims,frame_error,lie_dimension,uL_dimension,zero_modes,predicted_zero_modes,gap
connected-L4,4,1,1,4,4.604880359952465e-16,16,16,1,1,0.08465862342215844
connected-L4,4,2,1,4,4.604880359952465e-16,16,16,1,1,0.08465862342215831
connected-L4,4,3,1,4,4.604880359952465e-16,16,16,1,1,0.08465862342215791
connected-L5,5,1,1,5,8.100106136542571e-16,25,25,1,1,0.14457192336304392
connected-L5,5,2,1,5,8.100106136542571e-16,25,25,1,1,0.14457192336304375
connected-L5,5,3,1,5,8.100106136542571e-16,25,25,1,1,0.14457192336304367
connected-L5,5,4,1,5,8.100106136542571e-16,25,25,1,1,0.14457192336304403
disconnected-2+2,4,1,2,2+2,4.542498235259766e-16,8,16,2,2,0.02994701209896277
disconnected-2+2,4,2,2,2+2,4.542498235259766e-16,8,16,3,3,0.02994701209896247
disconnected-2+2,4,3,2,2+2,4.542498235259766e-16,8,16,2,2,0.029947012098962784
disconnected-2+3,5,1,2,2+3,4.3506773839543168e-16,13,25,2,2,0.009271682149071375
disconnected-2+3,5,2,2,2+3,4.3506773839543168e-16,13,25,3,3,0.009271682149070166
disconnected-2+3,5,3,2,2+3,4.3506773839543168e-16,13,25,3,3,0.009271682149071063
disconnected-2+3,5,4,2,2+3,4.3506773839543168e-16,13,25,2,2,0.009271682149070907
