boundary,volume,total_pairs,n1,n2,sector_dimension,configurations_checked,mean_sum_N_exact,mean_D_exact,mean_C4_exact,baseline_D_exact,selector_shift_per_A4_exact,leakage_squared_exact,leakage_squared_formula_exact,leakage_squared_per_A4_squared_exact,singular_value_exact,singular_value_decimal,min_C4_exact,max_C4_exact,distinct_C4_values,agp_invariant,centered_action_sum_zero,centered_action_norm_exact,open_decomposition_exact
periodic,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,YES,YES,YES,YES
periodic,2,1,0,1,2,2,4,8,49/250,8,0,0,0,0,0,0,49/250,49/250,1,YES,YES,YES,YES
periodic,2,2,0,2,1,1,8,32,49/25,32,0,0,0,0,0,0,49/25,49/25,1,YES,YES,YES,YES
periodic,2,1,1,0,2,2,4,8,49/250,8,0,0,0,0,0,0,49/250,49/250,1,YES,YES,YES,YES
periodic,2,2,1,1,4,4,8,32,49/25,32,0,0,0,0,0,0,49/25,49/25,1,YES,YES,YES,YES
periodic,2,3,1,2,2,2,12,72,1323/250,72,0,0,0,0,0,0,1323/250,1323/250,1,YES,YES,YES,YES
periodic,2,2,2,0,1,1,8,32,49/25,32,0,0,0,0,0,0,49/25,49/25,1,YES,YES,YES,YES
periodic,2,3,2,1,2,2,12,72,1323/250,72,0,0,0,0,0,0,1323/250,1323/250,1,YES,YES,YES,YES
periodic,2,4,2,2,1,1,16,128,1274/125,128,0,0,0,0,0,0,1274/125,1274/125,1,YES,YES,YES,YES
periodic,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,YES,YES,YES,YES
periodic,3,1,0,1,3,3,4,8,49/250,8,0,0,0,0,0,0,49/250,49/250,1,YES,YES,YES,YES
periodic,3,2,0,2,3,3,8,24,147/125,24,0,0,0,0,0,0,147/125,147/125,1,YES,YES,YES,YES
periodic,3,3,0,3,1,1,12,48,147/50,48,0,0,0,0,0,0,147/50,147/50,1,YES,YES,YES,YES
periodic,3,1,1,0,3,3,4,8,49/250,8,0,0,0,0,0,0,49/250,49/250,1,YES,YES,YES,YES
