boundary,volume,total_pairs,n1,n2,sector_dimension,configurations_checked,mean_sum_N_exact,mean_D_exact,mean_C4_exact,baseline_D_exact,selector_shift_per_A4_exact,leakage_squared_exact,leakage_squared_formula_exact,leakage_squared_per_A4_squared_exact,singular_value_exact,singular_value_decimal,min_C4_exact,max_C4_exact,distinct_C4_values,agp_invariant,centered_action_sum_zero,centered_action_norm_exact,open_decomposition_exact
open,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,YES,YES,YES,YES
open,2,1,0,1,2,2,2,4,49/500,4,0,0,0,0,0,0,49/500,49/500,1,YES,YES,YES,YES
open,2,2,0,2,1,1,4,16,49/50,16,0,0,0,0,0,0,49/50,49/50,1,YES,YES,YES,YES
open,2,1,1,0,2,2,2,4,49/500,4,0,0,0,0,0,0,49/500,49/500,1,YES,YES,YES,YES
open,2,2,1,1,4,4,4,16,49/50,16,0,0,0,0,0,0,49/50,49/50,1,YES,YES,YES,YES
open,2,3,1,2,2,2,6,36,1323/500,36,0,0,0,0,0,0,1323/500,1323/500,1,YES,YES,YES,YES
open,2,2,2,0,1,1,4,16,49/50,16,0,0,0,0,0,0,49/50,49/50,1,YES,YES,YES,YES
open,2,3,2,1,2,2,6,36,1323/500,36,0,0,0,0,0,0,1323/500,1323/500,1,YES,YES,YES,YES
open,2,4,2,2,1,1,8,64,637/125,64,0,0,0,0,0,0,637/125,637/125,1,YES,YES,YES,YES
open,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,YES,YES,YES,YES
open,3,1,0,1,3,3,8/3,16/3,49/375,16/3,0,2401/1125000,2401/1125000,2/9,sqrt(2401/1125000),0.0461976430375211,49/500,49/250,2,NO,YES,YES,YES
open,3,2,0,2,3,3,16/3,16,98/125,16,0,21609/125000,21609/125000,18,sqrt(21609/125000),0.41577878733769,49/250,539/500,2,NO,YES,YES,YES
open,3,3,0,3,1,1,8,32,49/25,32,0,0,0,0,0,0,49/25,49/25,1,YES,YES,YES,YES
open,3,1,1,0,3,3,8/3,16/3,49/375,16/3,0,2401/1125000,2401/1125000,2/9,sqrt(2401/1125000),0.0461976430375211,49/500,49/250,2,NO,YES,YES,YES
open,3,2,1,1,9,9,16/3,160/9,1078/1125,16,16/9,1250921/5062500,1250921/5062500,2084/81,sqrt(1250921/5062500),0.49708702072458,49/250,49/25,4,NO,YES,YES,YES
