boundary,volume,total_pairs,n1,n2,sector_dimension,configurations_checked,mean_sum_N_exact,mean_D_exact,mean_C4_exact,baseline_D_exact,selector_shift_per_A4_exact,leakage_squared_exact,leakage_squared_formula_exact,leakage_squared_per_A4_squared_exact,singular_value_exact,singular_value_decimal,min_C4_exact,max_C4_exact,distinct_C4_values,agp_invariant,centered_action_sum_zero,centered_action_norm_exact,open_decomposition_exact
open,4,2,0,2,6,6,6,16,343/500,16,0,45619/250000,45619/250000,19,sqrt(45619/250000),0.427172096466986,49/250,147/125,4,NO,YES,YES,YES
open,4,2,1,1,16,16,6,18,441/500,16,2,31213/100000,31213/100000,65/2,sqrt(31213/100000),0.558685958298578,49/250,49/25,6,NO,YES,YES,YES
open,4,2,2,0,6,6,6,16,343/500,16,0,45619/250000,45619/250000,19,sqrt(45619/250000),0.427172096466986,49/250,147/125,4,NO,YES,YES,YES
open,4,3,0,3,4,4,9,30,1617/1000,30,0,194481/1000000,194481/1000000,81/4,sqrt(194481/1000000),0.441,147/125,1029/500,2,NO,YES,YES,YES
open,4,3,1,2,24,24,9,34,2009/1000,30,4,487403/600000,487403/600000,1015/12,sqrt(487403/600000),0.901298137872998,539/500,931/250,6,NO,YES,YES,YES
open,4,3,2,1,24,24,9,34,2009/1000,30,4,487403/600000,487403/600000,1015/12,sqrt(487403/600000),0.901298137872998,539/500,931/250,6,NO,YES,YES,YES
open,4,3,3,0,4,4,9,30,1617/1000,30,0,194481/1000000,194481/1000000,81/4,sqrt(194481/1000000),0.441,147/125,1029/500,2,NO,YES,YES,YES
open,6,2,0,2,15,15,20/3,16,147/250,16,0,2401/15625,2401/15625,16,sqrt(2401/15625),0.392,49/250,147/125,5,NO,YES,YES,YES
open,6,2,1,1,36,36,20/3,160/9,343/450,16,16/9,319333/1012500,319333/1012500,2660/81,sqrt(319333/1012500),0.561596489736137,49/250,49/25,7,NO,YES,YES,YES
open,6,2,2,0,15,15,20/3,16,147/250,16,0,2401/15625,2401/15625,16,sqrt(2401/15625),0.392,49/250,147/125,5,NO,YES,YES,YES
open,6,3,0,3,20,20,10,28,637/500,28,0,175273/625000,175273/625000,146/5,sqrt(175273/625000),0.529562838575367,49/125,539/250,7,NO,YES,YES,YES
open,6,3,1,2,90,90,10,284/9,7301/4500,28,32/9,37006613/50625000,37006613/50625000,30826/405,sqrt(37006613/50625000),0.854982353438571,49/125,931/250,11,NO,YES,YES,YES
open,6,3,2,1,90,90,10,284/9,7301/4500,28,32/9,37006613/50625000,37006613/50625000,30826/405,sqrt(37006613/50625000),0.854982353438571,49/125,931/250,11,NO,YES,YES,YES
open,6,3,3,0,20,20,10,28,637/500,28,0,175273/625000,175273/625000,146/5,sqrt(175273/625000),0.529562838575367,49/125,539/250,7,NO,YES,YES,YES
open,8,2,0,2,28,28,7,16,539/1000,16,0,126567/1000000,126567/1000000,369/28,sqrt(126567/1000000),0.355762561268046,49/250,147/125,5,NO,YES,YES,YES
open,8,2,1,1,64,64,7,35/2,343/500,16,3/2,569037/2000000,569037/2000000,237/8,sqrt(569037/2000000),0.533402755898392,49/250,49/25,7,NO,YES,YES,YES
open,8,2,2,0,28,28,7,16,539/1000,16,0,126567/1000000,126567/1000000,369/28,sqrt(126567/1000000),0.355762561268046,49/250,147/125,5,NO,YES,YES,YES
open,8,3,0,3,56,56,21/2,27,441/400,27,0,217119/800000,217119/800000,3165/112,sqrt(217119/800000),0.520959451397131,49/125,539/250,8,NO,YES,YES,YES
open,8,3,1,2,224,224,21/2,30,2793/2000,27,3,2579703/4000000,2579703/4000000,7521/112,sqrt(2579703/4000000),0.803072692849159,49/125,931/250,12,NO,YES,YES,YES
open,8,3,2,1,224,224,21/2,30,2793/2000,27,3,2579703/4000000,2579703/4000000,7521/112,sqrt(2579703/4000000),0.803072692849159,49/125,931/250,12,NO,YES,YES,YES
open,8,3,3,0,56,56,21/2,27,441/400,27,0,217119/800000,217119/800000,3165/112,sqrt(217119/800000),0.520959451397131,49/125,539/250,8,NO,YES,YES,YES
