boundary,volume,total_pairs,n1,n2,sector_dimension,configurations_checked,mean_sum_N_exact,mean_D_exact,mean_C4_exact,baseline_D_exact,selector_shift_per_A4_exact,leakage_squared_exact,leakage_squared_formula_exact,leakage_squared_per_A4_squared_exact,singular_value_exact,singular_value_decimal,min_C4_exact,max_C4_exact,distinct_C4_values,agp_invariant,centered_action_sum_zero,centered_action_norm_exact,open_decomposition_exact
periodic,4,2,0,2,6,6,8,64/3,343/375,64/3,0,19208/140625,19208/140625,128/9,sqrt(19208/140625),0.369581144300169,49/125,147/125,2,NO,YES,YES,YES
periodic,4,2,1,1,16,16,8,24,147/125,64/3,8/3,4802/15625,4802/15625,32,sqrt(4802/15625),0.554371716450253,49/125,49/25,3,NO,YES,YES,YES
periodic,4,2,2,0,6,6,8,64/3,343/375,64/3,0,19208/140625,19208/140625,128/9,sqrt(19208/140625),0.369581144300169,49/125,147/125,2,NO,YES,YES,YES
periodic,4,3,0,3,4,4,12,40,539/250,40,0,0,0,0,0,0,539/250,539/250,1,YES,YES,YES,YES
periodic,4,3,1,2,24,24,12,136/3,2009/750,40,16/3,76832/140625,76832/140625,512/9,sqrt(76832/140625),0.739162288600338,539/250,931/250,2,NO,YES,YES,YES
periodic,4,3,2,1,24,24,12,136/3,2009/750,40,16/3,76832/140625,76832/140625,512/9,sqrt(76832/140625),0.739162288600338,539/250,931/250,2,NO,YES,YES,YES
periodic,4,3,3,0,4,4,12,40,539/250,40,0,0,0,0,0,0,539/250,539/250,1,YES,YES,YES,YES
periodic,6,2,0,2,15,15,8,96/5,441/625,96/5,0,57624/390625,57624/390625,384/25,sqrt(57624/390625),0.384079991668402,49/125,147/125,2,NO,YES,YES,YES
periodic,6,2,1,1,36,36,8,64/3,343/375,96/5,32/15,9604/28125,9604/28125,320/9,sqrt(9604/28125),0.584359098119945,49/125,49/25,3,NO,YES,YES,YES
periodic,6,2,2,0,15,15,8,96/5,441/625,96/5,0,57624/390625,57624/390625,384/25,sqrt(57624/390625),0.384079991668402,49/125,147/125,2,NO,YES,YES,YES
periodic,6,3,0,3,20,20,12,168/5,1911/1250,168/5,0,86436/390625,86436/390625,576/25,sqrt(86436/390625),0.4704,147/250,539/250,3,NO,YES,YES,YES
periodic,6,3,1,2,90,90,12,568/15,7301/3750,168/5,64/15,2439416/3515625,2439416/3515625,16256/225,sqrt(2439416/3515625),0.832993594746616,147/250,931/250,4,NO,YES,YES,YES
periodic,6,3,2,1,90,90,12,568/15,7301/3750,168/5,64/15,2439416/3515625,2439416/3515625,16256/225,sqrt(2439416/3515625),0.832993594746616,147/250,931/250,4,NO,YES,YES,YES
periodic,6,3,3,0,20,20,12,168/5,1911/1250,168/5,0,86436/390625,86436/390625,576/25,sqrt(86436/390625),0.4704,147/250,539/250,3,NO,YES,YES,YES
periodic,8,2,0,2,28,28,8,128/7,77/125,128/7,0,392/3125,392/3125,640/49,sqrt(392/3125),0.354175097938858,49/125,147/125,2,NO,YES,YES,YES
periodic,8,2,1,1,64,64,8,20,98/125,128/7,12/7,4802/15625,4802/15625,32,sqrt(4802/15625),0.554371716450253,49/125,49/25,3,NO,YES,YES,YES
periodic,8,2,2,0,28,28,8,128/7,77/125,128/7,0,392/3125,392/3125,640/49,sqrt(392/3125),0.354175097938858,49/125,147/125,2,NO,YES,YES,YES
periodic,8,3,0,3,56,56,12,216/7,63/50,216/7,0,784/3125,784/3125,1280/49,sqrt(784/3125),0.500879226959953,147/250,539/250,3,NO,YES,YES,YES
periodic,8,3,1,2,224,224,12,240/7,399/250,216/7,24/7,10192/15625,10192/15625,3328/49,sqrt(10192/15625),0.807643485703934,147/250,931/250,4,NO,YES,YES,YES
periodic,8,3,2,1,224,224,12,240/7,399/250,216/7,24/7,10192/15625,10192/15625,3328/49,sqrt(10192/15625),0.807643485703934,147/250,931/250,4,NO,YES,YES,YES
periodic,8,3,3,0,56,56,12,216/7,63/50,216/7,0,784/3125,784/3125,1280/49,sqrt(784/3125),0.500879226959953,147/250,539/250,3,NO,YES,YES,YES
