L,N,sample,time,heat_correlation,scaled_t2_heat
16,256,0,0.5,0.03059574260482846,0.06884042086086403
16,256,0,1.0,0.007387260228771096,0.029549040915084385
16,256,0,2.0,0.0017072793142287209,0.015365513828058487
16,256,0,4.0,0.0004867630659469915,0.012169076648674787
16,256,0,8.0,0.00014020904456822053,0.011356932610025863
16,256,0,16.0,2.395494538925675e-05,0.0069229792174952
16,256,0,32.0,1.1917367287177041e-06,0.0012978012975735798
16,256,0,64.0,3.831200288235158e-09,1.6186821217793543e-05
16,256,1,0.5,0.03626017158795874,0.08158538607290716
16,256,1,1.0,0.00941367484782055,0.0376546993912822
16,256,1,2.0,0.002270863191655813,0.020437768724902317
16,256,1,4.0,0.0007577729256952398,0.018944323142380995
16,256,1,8.0,0.00029213941630194356,0.02366329272045743
16,256,1,16.0,6.528038082448599e-05,0.01886603005827645
16,256,1,32.0,3.4617063012698305e-06,0.0037697981620828454
16,256,1,64.0,9.860031465892702e-09,4.165863294339666e-05
16,256,2,0.5,0.024675737031841515,0.05552040832164341
16,256,2,1.0,0.005241099040833268,0.020964396163333072
16,256,2,2.0,0.001309465729042483,0.011785191561382347
16,256,2,4.0,0.0003911740775860757,0.009779351939651891
16,256,2,8.0,0.00011228735133426552,0.009095275458075506
16,256,2,16.0,2.4388264944887614e-05,0.00704820856907252
16,256,2,32.0,1.4829963016603222e-06,0.0016149829725080908
16,256,2,64.0,5.789309216157519e-09,2.4459831438265517e-05
16,256,3,0.5,0.02997177118417269,0.06743648516438855
16,256,3,1.0,0.006835540644218215,0.02734216257687286
16,256,3,2.0,0.0012163587889896178,0.01094722910090656
16,256,3,4.0,0.00019611057015634354,0.004902764253908588
16,256,3,8.0,2.862709266921751e-05,0.002318794506206618
16,256,3,16.0,2.1002834688855863e-06,0.0006069819225079344
16,256,3,32.0,4.8530444040388994e-08,5.284965355998361e-05
16,256,3,64.0,1.198831105154416e-10,5.065061419277408e-07
16,256,4,0.5,0.03600419506177281,0.08100943888898883
16,256,4,1.0,0.009116581180154515,0.03646632472061806
16,256,4,2.0,0.002083788472744423,0.018754096254699808
16,256,4,4.0,0.0004928758526573217,0.012321896316433044
16,256,4,8.0,0.00012302338030285853,0.009964893804531541
16,256,4,16.0,2.395614171593251e-05,0.006923324955904495
16,256,4,32.0,1.4381222971177136e-06,0.00156611518156119
16,256,4,64.0,5.895207824393949e-09,2.4907253058064436e-05
16,256,5,0.5,0.03425790322733126,0.07708028226149533
16,256,5,1.0,0.008200422298719067,0.03280168919487627
16,256,5,2.0,0.0018691219339449301,0.01682209740550437
16,256,5,4.0,0.0003677835010025597,0.009194587525063993
16,256,5,8.0,4.672885920715359e-05,0.0037850375957794407
16,256,5,16.0,4.385624589856102e-06,0.0012674455064684135
16,256,5,32.0,1.783999226079849e-07,0.00019427751572009553
16,256,5,64.0,5.68769956210981e-10,2.403053064991395e-06
16,256,6,0.5,0.0323316020923929,0.07274610470788402
16,256,6,1.0,0.006577292189326968,0.026309168757307873
16,256,6,2.0,0.0013199705582534076,0.011879735024280668
16,256,6,4.0,0.00042846159774591515,0.01071153994364788
16,256,6,8.0,0.0001362513823849849,0.011036361973183776
16,256,6,16.0,2.698085838190239e-05,0.007797468072369791
16,256,6,32.0,1.4113929651684485e-06,0.0015370069390684405
16,256,6,64.0,4.282250228340558e-09,1.8092507214738857e-05
16,256,7,0.5,0.030271172787825595,0.06811013877260759
16,256,7,1.0,0.008292527346345741,0.033170109385382965
16,256,7,2.0,0.0022230155314631856,0.02000713978316867
16,256,7,4.0,0.0007209105028551234,0.018022762571378085
16,256,7,8.0,0.00020550112291462604,0.01664559095608471
16,256,7,16.0,3.253472136043934e-05,0.00940253447316697
16,256,7,32.0,1.4658181117510147e-06,0.001596275923696855
16,256,7,64.0,3.7100014371379245e-09,1.567475607190773e-05
24,576,0,0.5,0.03322818267458193,0.07476341101780934
24,576,0,1.0,0.008006404368278644,0.032025617473114575
24,576,0,2.0,0.0015889997553295743,0.014300997797966168
24,576,0,4.0,0.00032286001983073916,0.008071500495768479
24,576,0,8.0,6.701759117018596e-05,0.005428424884785063
24,576,0,16.0,1.6711093538396233e-05,0.004829506032596511
24,576,0,32.0,3.2129923806838905e-06,0.003498948702564757
24,576,0,64.0,2.1192509650394891e-07,0.0008953835327291841
24,576,1,0.5,0.03230332253228796,0.07268247569764791
24,576,1,1.0,0.008396874617527592,0.03358749847011037
24,576,1,2.0,0.00198108444021594,0.01782975996194346
24,576,1,4.0,0.00048268046846344163,0.01206701171158604
24,576,1,8.0,9.540786307643212e-05,0.007728036909191002
24,576,1,16.0,1.1848572426886705e-05,0.0034242374313702578
24,576,1,32.0,1.3865373340550068e-06,0.0015099391567859025
24,576,1,64.0,8.235283485540865e-08,0.00034794072726410157
24,576,2,0.5,0.03281835305325991,0.0738412943698348
24,576,2,1.0,0.008593893866424077,0.034375575465696306
24,576,2,2.0,0.0019227104622769955,0.01730439416049296
24,576,2,4.0,0.00040318456138997916,0.010079614034749478
24,576,2,8.0,0.0001003649333484123,0.008129559601221397
24,576,2,16.0,2.7931512127280752e-05,0.008072207004784138
24,576,2,32.0,5.2207811728763495e-06,0.005685430697262345
24,576,2,64.0,3.267642711447434e-07,0.0013805790455865409
24,576,3,0.5,0.03417327983548657,0.07688987962984478
24,576,3,1.0,0.0075631316571538754,0.030252526628615502
24,576,3,2.0,0.0014387942598419207,0.012949148338577287
24,576,3,4.0,0.00039823897918806514,0.009955974479701628
24,576,3,8.0,0.00018728131365203693,0.015169786405814992
24,576,3,16.0,8.570203317122972e-05,0.02476788758648539
24,576,3,32.0,2.24315933957975e-05,0.02442800520802348
24,576,3,64.0,1.6832263047633926e-06,0.007111631137625334
24,576,4,0.5,0.03055200284514075,0.06874200640156669
24,576,4,1.0,0.0075409763039259135,0.030163905215703654
24,576,4,2.0,0.0018408156079168945,0.01656734047125205
24,576,4,4.0,0.0005663685410945558,0.014159213527363896
24,576,4,8.0,0.00017007165534984464,0.013775804083337416
24,576,4,16.0,3.786951756506787e-05,0.010944290576304614
24,576,4,32.0,5.740419335837509e-06,0.0062513166567270476
24,576,4,64.0,3.487814330202943e-07,0.0014736015545107435
24,576,5,0.5,0.03496629801920235,0.07867417054320529
24,576,5,1.0,0.008435382996726852,0.03374153198690741
24,576,5,2.0,0.0017370212731661844,0.01563319145849566
24,576,5,4.0,0.00039746061742810965,0.009936515435702741
24,576,5,8.0,0.00011311618032638283,0.00916241060643701
24,576,5,16.0,3.029190460668115e-05,0.008754360431330852
24,576,5,32.0,5.2331859260185705e-06,0.005698939473434223
24,576,5,64.0,3.326874141682036e-07,0.00140560432486066
24,576,6,0.5,0.030374496043207102,0.06834261609721598
24,576,6,1.0,0.007315760372504188,0.029263041490016753
24,576,6,2.0,0.0015782628527343761,0.014204365674609386
24,576,6,4.0,0.0003708001728416614,0.009270004321041535
24,576,6,8.0,9.609450161245951e-05,0.00778365463060922
24,576,6,16.0,2.754624911312981e-05,0.007960865993694515
24,576,6,32.0,6.5289749074058205e-06,0.007110053674164938
24,576,6,64.0,5.088158712988271e-07,0.002149747056237544
24,576,7,0.5,0.03172891750895147,0.0713900643951408
24,576,7,1.0,0.007989336642881631,0.031957346571526525
24,576,7,2.0,0.0017997878474792224,0.016198090627313002
24,576,7,4.0,0.00039258888509217363,0.00981472212730434
24,576,7,8.0,9.130527308568187e-05,0.007395727119940232
24,576,7,16.0,2.7814451710775838e-05,0.008038376544414217
24,576,7,32.0,6.271551187453194e-06,0.006829719243136529
24,576,7,64.0,4.678474809889117e-07,0.001976655607178152
32,1024,0,0.5,0.03086776341554981,0.06945246768498707
32,1024,0,1.0,0.007876927370904833,0.031507709483619334
32,1024,0,2.0,0.0019144227557490595,0.017229804801741536
32,1024,0,4.0,0.0005671522824575716,0.01417880706143929
32,1024,0,8.0,0.0001813272174632,0.014687504614519198
32,1024,0,16.0,4.2141719995702e-05,0.012178957078757878
32,1024,0,32.0,6.8917090481406306e-06,0.007505071153425147
32,1024,0,64.0,1.0459720155630965e-06,0.004419231765754083
32,1024,1,0.5,0.03566318409492883,0.08024216421358987
32,1024,1,1.0,0.008879922212206907,0.03551968884882763
32,1024,1,2.0,0.0018261909284026496,0.016435718355623845
32,1024,1,4.0,0.0003712550328662124,0.00928137582165531
32,1024,1,8.0,0.00010064868558550527,0.008152543532425926
32,1024,1,16.0,4.023655591887076e-05,0.011628364660553649
32,1024,1,32.0,1.3952005016343346e-05,0.015193733462797905
32,1024,1,64.0,2.5852275785669074e-06,0.010922586519445185
32,1024,2,0.5,0.03496344237965782,0.0786677453542301
32,1024,2,1.0,0.008803622948265657,0.03521449179306263
32,1024,2,2.0,0.001843325802045736,0.016589932218411624
32,1024,2,4.0,0.0003809295640646867,0.009523239101617167
32,1024,2,8.0,8.46431903228111e-05,0.0068560984161476985
32,1024,2,16.0,1.724919191968234e-05,0.004985016464788196
32,1024,2,32.0,2.599223146247925e-06,0.0028305540062639905
32,1024,2,64.0,2.304935036761111e-07,0.0009738350530315694
32,1024,3,0.5,0.03232383702149619,0.07272863329836643
32,1024,3,1.0,0.007611436916879412,0.030445747667517647
32,1024,3,2.0,0.001626282193895985,0.014636539745063865
32,1024,3,4.0,0.00038197357088093494,0.009549339272023373
32,1024,3,8.0,0.00010264130562180363,0.008313945755366094
32,1024,3,16.0,3.195400870869136e-05,0.009234708516811803
32,1024,3,32.0,1.0027412362682094e-05,0.0109198520629608
32,1024,3,64.0,2.079646534396447e-06,0.008786506607824988
32,1024,4,0.5,0.03537423260534793,0.07959202336203285
32,1024,4,1.0,0.008341989013548403,0.03336795605419361
32,1024,4,2.0,0.0016933560374494526,0.015240204337045074
32,1024,4,4.0,0.0003883667155247238,0.009709167888118094
32,1024,4,8.0,9.339711474970468e-05,0.007565166294726079
32,1024,4,16.0,1.9451331672258896e-05,0.005621434853282821
32,1024,4,32.0,3.2877749544116937e-06,0.0035803869253543345
32,1024,4,64.0,4.074952914211986e-07,0.001721667606254564
32,1024,5,0.5,0.035010895180570434,0.07877451415628348
32,1024,5,1.0,0.009148591025149816,0.03659436410059926
32,1024,5,2.0,0.002125229596573101,0.01912706636915791
32,1024,5,4.0,0.0005006116951430399,0.012515292378575998
32,1024,5,8.0,0.00011992625556671139,0.009714026700903622
32,1024,5,16.0,3.59610183879516e-05,0.010392734314118012
