L,N,samples,time,mean_heat_correlation,std_heat_correlation,mean_scaled_t2_heat
16,256,8,0.5,0.031796036947265495,0.0038130835307200873,0.07154108313134737
16,256,8,1.0,0.007633049722023678,0.0013969762773790582,0.030532198888094712
16,256,8,2.0,0.0017499829400403227,0.00042865915506064284,0.015749846460362905
16,256,8,4.0,0.00048023151170569633,0.00018483149427066432,0.012005787792642409
16,256,8,8.0,0.00013559595621040878,8.40538575815232e-05,0.01098327245304311
16,256,8,16.0,2.5447652584455785e-05,1.9396270821155722e-05,0.007354371596907722
16,256,8,32.0,1.3348378840416758e-06,1.0414013828146642e-06,0.001453638455721385
16,256,8,64.0,4.2570816908605295e-09,3.1081824126864416e-09,1.7986170143885736e-05
24,576,8,0.5,0.032518106564014757,0.0016238040627821382,0.0731657397690332
24,576,8,1.0,0.007980220103177846,0.00047306645250484464,0.031920880412711385
24,576,8,2.0,0.0017359345623701385,0.00018700829660527946,0.015623411061331246
24,576,8,4.0,0.00041677278066609073,7.477754067063913e-05,0.010419319516652268
24,576,8,8.0,0.00011508241395267953,4.1542020862507776e-05,0.009321675530167042
24,576,8,16.0,3.321441678243101e-05,2.2687997856361543e-05,0.009598966450122561
24,576,8,32.0,7.00325445501598e-06,6.465432006103297e-06,0.0076265441015124025
24,576,8,64.0,4.953000883429662e-07,4.984614554090531e-07,0.002092642873249032
32,1024,8,0.5,0.03372781085857101,0.0019826687068244626,0.07588757443178477
32,1024,8,1.0,0.008279867656190251,0.000628269391628179,0.033119470624761005
32,1024,8,2.0,0.001773186976634899,0.0001948398231961945,0.01595868278971409
32,1024,8,4.0,0.00041504144998640133,7.940392656289742e-05,0.010376036249660034
32,1024,8,8.0,0.00010548357481923867,3.3963958387943455e-05,0.008544169560358332
32,1024,8,16.0,2.665995821819335e-05,1.2268678216389904e-05,0.007704727925057878
32,1024,8,32.0,6.664910715859901e-06,4.914123551064038e-06,0.007258087769571432
32,1024,8,64.0,1.1853821385151732e-06,1.057550582566893e-06,0.005008239535226606
48,2304,8,0.5,0.03304705662407055,0.0016402612264384418,0.07435587740415874
48,2304,8,1.0,0.008177211431753824,0.0006341043728536312,0.032708845727015295
48,2304,8,2.0,0.0017964714197572478,0.00023635117927419544,0.01616824277781523
48,2304,8,4.0,0.0004136889926768465,7.054545421215955e-05,0.010342224816921161
48,2304,8,8.0,0.00010132685230168932,1.7893520022710948e-05,0.008207475036436835
48,2304,8,16.0,2.562402928093901e-05,6.128736973112461e-06,0.007405344462191373
48,2304,8,32.0,6.526394604067677e-06,1.7571689654847867e-06,0.0071072437238297
48,2304,8,64.0,1.6110136814537808e-06,5.751207387856241e-07,0.006806532804142224
