L,N,sample,delta,source_mass_per_site,Hminus1_tail_per_site,tail_over_delta,tail_fraction_of_total_Hminus1
16,256,0,0.08,0.0,0.0,0.0,0.0
16,256,0,0.12,0.0,0.0,0.0,0.0
16,256,0,0.18,0.00019090289412539822,0.0010811910302824352,0.006006616834902418,0.014687660502541037
16,256,0,0.27,0.00036785887112417886,0.002048011784857941,0.007585228832807188,0.027821634622087775
16,256,0,0.4,0.0011369138506096526,0.004286184635527916,0.010715461588819789,0.05822655110392138
16,256,1,0.08,0.0,0.0,0.0,0.0
16,256,1,0.12,0.0,0.0,0.0,0.0
16,256,1,0.18,2.193083918678885e-05,0.00012648443564495032,0.0007026913091386129,0.0015198806172358986
16,256,1,0.27,0.0012194075742793518,0.006652253596036982,0.02463797628161845,0.07993577431088507
16,256,1,0.4,0.0013404121598165526,0.006981430571271019,0.017453576428177544,0.08389127841498649
16,256,2,0.08,0.0,0.0,0.0,0.0
16,256,2,0.12,0.0,0.0,0.0,0.0
16,256,2,0.18,0.00038765191217608264,0.0022253207629581223,0.012362893127545124,0.032784069263075116
16,256,2,0.27,0.00038765767861288455,0.002225352486788684,0.008242046247365496,0.032784536627724625
16,256,2,0.4,0.0005082057734968403,0.0025712836820404416,0.0064282092051011035,0.03788089507373864
16,256,3,0.08,0.0,0.0,0.0,0.0
16,256,3,0.12,0.0,0.0,0.0,0.0
16,256,3,0.18,6.96084943003528e-07,4.0196694707872284e-06,2.2331497059929048e-05,5.865331422484454e-05
16,256,3,0.27,1.6903899863487643e-05,9.102295013561855e-05,0.00033712203753932796,0.00132816833194278
16,256,3,0.4,0.00041215194074137253,0.001184153696145679,0.0029603842403641972,0.01727866913817203
16,256,4,0.08,0.0,0.0,0.0,0.0
16,256,4,0.12,0.0,0.0,0.0,0.0
16,256,4,0.18,0.0003213297170201568,0.0018778123015378838,0.010432290564099354,0.02248792752811104
16,256,4,0.27,0.0003501432172819764,0.002036690571459506,0.007543298412812984,0.02439059001299466
16,256,4,0.4,0.0007654649240862838,0.0032238744417701763,0.00805968610442544,0.03860782824081129
16,256,5,0.08,0.0,0.0,0.0,0.0
16,256,5,0.12,0.0,0.0,0.0,0.0
16,256,5,0.18,5.375630142254918e-05,0.0003002244837472861,0.0016679137985960337,0.003745680472634337
16,256,5,0.27,5.3760153149369116e-05,0.0003002451728236985,0.0011120191586062905,0.003745938595051761
16,256,5,0.4,0.0005114245928918475,0.0015474214701808088,0.003868553675452022,0.01930604163739783
16,256,6,0.08,0.0,0.0,0.0,0.0
16,256,6,0.12,0.0,0.0,0.0,0.0
16,256,6,0.18,0.00018957118729846065,0.0010801829185039368,0.00600101621391076,0.013439776050940457
16,256,6,0.27,0.00048071576743577817,0.0026313656108735064,0.009745798558790764,0.03273979241151754
16,256,6,0.4,0.0007728647606340016,0.003462104909762034,0.008655262274405084,0.0430759585760785
16,256,7,0.08,0.0,0.0,0.0,0.0
16,256,7,0.12,0.0,0.0,0.0,0.0
16,256,7,0.18,1.826441371172691e-05,0.00010291872281519848,0.0005717706823066582,0.0014193941268586965
16,256,7,0.27,0.0005738298900451308,0.0030718157123773406,0.011377095231027187,0.04236466467592796
16,256,7,0.4,0.001919161349893623,0.006706572603744106,0.016766431509360264,0.09249308099361749
24,576,0,0.08,1.4635593133655396e-06,1.8683235868856575e-05,0.0002335404483607072,0.00023928033142292957
24,576,0,0.12,3.7901232522282016e-05,0.0004666390678328639,0.0038886588986071996,0.005976349685337891
24,576,0,0.18,0.00010311114514041715,0.0008740277293348597,0.004855709607415887,0.011193866320378214
24,576,0,0.27,0.00010311114514041715,0.0008740277293348597,0.003237139738277258,0.011193866320378214
24,576,0,0.4,0.00044738106219900675,0.0018394196041016655,0.004598549010254163,0.023557853445984305
24,576,1,0.08,1.2063761275680718e-05,0.00015382438785269966,0.0019228048481587457,0.002005254638271481
24,576,1,0.12,1.2078841836025238e-05,0.00015401093580146843,0.001283424465012237,0.002007686477232458
24,576,1,0.18,7.445802199582157e-05,0.0005475437713299898,0.0030419098407221657,0.007137780311971849
24,576,1,0.27,7.445802199582157e-05,0.0005475437713299898,0.0020279398938147773,0.007137780311971849
24,576,1,0.4,0.0010555703160995522,0.003203739673043558,0.008009349182608894,0.041763948674619765
24,576,2,0.08,6.614306201775736e-07,8.32514208800852e-06,0.0001040642761001065,0.00010404051624347225
24,576,2,0.12,5.86154497891365e-05,0.0007202639528378206,0.006002199606981839,0.009001243785706558
24,576,2,0.18,0.000186327866734716,0.0015414263710688977,0.008563479839271654,0.019263430425807047
24,576,2,0.27,0.000186327866734716,0.0015414263710688977,0.005708986559514436,0.019263430425807047
24,576,2,0.4,0.0007471516694167216,0.0030122268272149023,0.007530567068037256,0.03764423848060024
24,576,3,0.08,2.493357345319017e-05,0.00031269613624200433,0.0039087017030250545,0.003801285663529039
24,576,3,0.12,0.0002887195828336139,0.0035905889318057545,0.029921574431714622,0.04364893789265125
24,576,3,0.18,0.0003550847017839797,0.004005873137381495,0.02225485076323053,0.04869733380798605
24,576,3,0.27,0.0003550847017839797,0.004005873137381495,0.014836567175487017,0.04869733380798605
24,576,3,0.4,0.000602598216304736,0.0046774634618806064,0.011693658654701516,0.05686151102796782
24,576,4,0.08,8.826340675778538e-06,0.00011570354391607447,0.0014462942989509307,0.0015725074213845623
24,576,4,0.12,5.8420895966740456e-05,0.0007261398993737764,0.006051165828114804,0.009868845344589885
24,576,4,0.18,0.00025026646998939286,0.0019441051536971785,0.010800584187206547,0.02642200643705667
24,576,4,0.27,0.00025026646998939286,0.0019441051536971785,0.007200389458137698,0.02642200643705667
24,576,4,0.4,0.0012532490779748658,0.005070715577756068,0.012676788944390168,0.06891524328360654
24,576,5,0.08,5.270726124072122e-05,0.0006629751902017519,0.0082871898775219,0.008287325534911802
24,576,5,0.12,5.270726124072122e-05,0.0006629751902017519,0.005524793251681266,0.008287325534911802
24,576,5,0.18,0.00021253948231258,0.0016852145220529865,0.00936230290029437,0.02106552635274918
24,576,5,0.27,0.00021253948231258,0.0016852145220529865,0.006241535266862912,0.02106552635274918
24,576,5,0.4,0.0006602578391061793,0.003026148568752768,0.0075653714218819204,0.037827476317220644
24,576,6,0.08,7.378103876078458e-05,0.000943190521263455,0.011789881515793188,0.012812933181334384
24,576,6,0.12,7.599396031799508e-05,0.0009706899718416045,0.008089083098680038,0.013186504177689655
24,576,6,0.18,0.00012697173476601076,0.001291772255710282,0.0071765125317237895,0.017548301456365302
24,576,6,0.27,0.00012697173476601076,0.001291772255710282,0.004784341687815859,0.017548301456365302
24,576,6,0.4,0.00035210547729916766,0.001933642138812847,0.0048341053470321175,0.026267892819823096
24,576,7,0.08,6.962804855541626e-05,0.0008890322813226302,0.011112903516532878,0.01202805326197378
24,576,7,0.12,6.962804855541626e-05,0.0008890322813226302,0.007408602344355252,0.01202805326197378
24,576,7,0.18,0.00014914560496820723,0.0014064591648641593,0.007813662027023108,0.01902851685049004
24,576,7,0.27,0.00014914560496820723,0.0014064591648641593,0.005209108018015405,0.01902851685049004
24,576,7,0.4,0.0005048770545962923,0.0023711357030446853,0.005927839257611713,0.03207998981224749
32,1024,0,0.08,1.5983640146015642e-05,0.0003624234234825635,0.004530292793532043,0.004698359558631088
32,1024,0,0.12,4.815389285683348e-05,0.0007136933390374713,0.005947444491978928,0.009252128047290425
32,1024,0,0.18,0.0002891415237227289,0.0020733947162746187,0.011518859534858993,0.026878930148654483
32,1024,0,0.27,0.0006055940639938917,0.0035791083318779276,0.013255956784733064,0.04639859554569838
32,1024,0,0.4,0.001203462934365668,0.00513041335171663,0.012826033379291574,0.06650929561655684
32,1024,1,0.08,3.887990005368346e-05,0.0008838733509805652,0.011048416887257065,0.010677273673262778
32,1024,1,0.12,0.00011113183064866104,0.0017031961974476827,0.014193301645397356,0.020574771147059145
32,1024,1,0.18,0.0001395212929326176,0.001866626749721554,0.01037014860956419,0.022549027675174534
32,1024,1,0.27,0.00016743678149454144,0.00199521064050088,0.007389669038892148,0.024102333236769614
32,1024,1,0.4,0.00036409158362286795,0.002519025165979828,0.006297562914949569,0.03043006224496321
32,1024,2,0.08,2.1462589490453376e-06,4.853806402098804e-05,0.0006067258002623504,0.0006115530736868438
32,1024,2,0.12,3.3895119292743266e-05,0.00040332139737284665,0.0033610116447737224,0.005081629134206586
32,1024,2,0.18,4.531244069928621e-05,0.0004682229145290723,0.0026012384140504017,0.005899352772435478
32,1024,2,0.27,0.00027522579880422045,0.0015272894492479618,0.0056566275898072655,0.01924301217892013
32,1024,2,0.4,0.0004350518289479394,0.0019731148003968844,0.004932787000992211,0.02486016789622989
32,1024,3,0.08,3.250327891281287e-05,0.0007445704533886392,0.00930713066735799,0.009510622531554455
32,1024,3,0.12,6.114403841147795e-05,0.00106235659747742,0.008852971645645167,0.013569800609910209
32,1024,3,0.18,0.00012186708577074713,0.0014164519721341765,0.007869177622967648,0.0180927674201067
32,1024,3,0.27,0.0002537850491971726,0.0020273029621160022,0.007508529489318527,0.02589535099336475
32,1024,3,0.4,0.00044539609671315775,0.0025634279093233745,0.006408569773308436,0.032743436328249026
32,1024,4,0.08,5.515443891645792e-06,0.00012227671327392071,0.0015284589159240088,0.001496425853358742
32,1024,4,0.12,3.364715233825739e-05,0.0004411957791621555,0.0036766314930179625,0.0053993663442032935
32,1024,4,0.18,5.5598366833564825e-05,0.0005661670396970047,0.0031453724427611372,0.00692876814266548
32,1024,4,0.27,0.0003256599698861202,0.0017889524393343405,0.006625749775312372,0.02189325022706555
32,1024,4,0.4,0.0003896641379685242,0.0019678038613904704,0.004919509653476176,0.024082038956406142
32,1024,5,0.08,4.300470948303279e-05,0.0009603843025598098,0.012004803781997623,0.0116636131945415
32,1024,5,0.12,7.701958615633381e-05,0.001338820879484511,0.011156840662370925,0.016259625270281543
32,1024,5,0.18,0.00011322200208299322,0.0015412210659559208,0.00856233925531067,0.018717721970959944
32,1024,5,0.27,0.00023949188137019462,0.0021042109890078314,0.007793374033362338,0.025555085594459223
32,1024,5,0.4,0.0003594661614611199,0.00244436910958331,0.006110922773958275,0.02968621594800591
32,1024,6,0.08,6.695487433731492e-06,0.00014666923792970742,0.0018333654741213427,0.0018043994203428022
32,1024,6,0.12,3.074334507592091e-05,0.00041111253117032196,0.003425937759752683,0.0050577150560699785
32,1024,6,0.18,4.6831919392985774e-05,0.000501226071392575,0.002784589285514306,0.006166337573219751
