L,N,samples,delta,mean_Hminus1_tail,std_Hminus1_tail,mean_tail_over_delta,max_tail_over_delta
16,256,8,0.08,0.0,0.0,0.0,0.0
16,256,8,0.12,0.0,0.0,0.0,0.0
16,256,8,0.18,0.000849769290620075,0.0008580608882285642,0.004720940503444861,0.012362893127545124
16,256,8,0.27,0.0023820947356691597,0.0020216930247324233,0.008822573095070962,0.02463797628161845
16,256,8,0.4,0.0037453782513052723,0.0021598535484841372,0.009363445628263179,0.017453576428177544
24,576,8,0.08,0.0003880538048444351,0.00038731369956794266,0.004850672560555439,0.011789881515793188
24,576,8,0.12,0.0010225425288772087,0.001068193890572194,0.008521187740643407,0.029921574431714622
24,576,8,0.18,0.0016620527631799813,0.001045649776090006,0.009233626462111007,0.02225485076323053
24,576,8,0.27,0.0016620527631799813,0.001045649776090006,0.00615575097474067,0.014836567175487017
24,576,8,0.4,0.0031418114443258873,0.0011869975405402063,0.00785452861081472,0.012676788944390168
32,1024,8,0.08,0.0004149103736530833,0.0003879387855764563,0.005186379670663542,0.012004803781997623
32,1024,8,0.12,0.0007732715299696601,0.0005459818946424113,0.006443929416413835,0.014193301645397356
32,1024,8,0.18,0.0010923441724811863,0.000707463682097558,0.0060685787360065906,0.011518859534858993
32,1024,8,0.27,0.0019042584345663458,0.0007853346838047347,0.007052809016912392,0.013255956784733064
32,1024,8,0.4,0.0026589618856083736,0.001067707432964795,0.0066474047140209335,0.012826033379291574
48,2304,8,0.08,0.0004799509338159371,0.0002036552366962522,0.005999386672699213,0.011304527005958126
48,2304,8,0.12,0.0008134177244569962,0.00021550371046520725,0.006778481037141636,0.009058396509298714
48,2304,8,0.18,0.0011811275285301443,0.00040366246124997485,0.006561819602945247,0.010873182404203015
48,2304,8,0.27,0.0018371427799546446,0.0003892372420478065,0.0068042325183505364,0.00926507642546906
48,2304,8,0.4,0.002695582357723511,0.00046170510997993556,0.006738955894308778,0.00898335179260488
