observable,h,edge,increment_variance
sharp,0.0,1,3.63161772029979e-08
sharp,0.0,2,1.544664473837705e-05
sharp,0.0,3,1.5727818801188202e-05
sharp,0.0,4,3.231903160122822e-05
sharp,0.0,5,5.9065924584136626e-05
sharp,0.0,6,8.609332681588684e-05
sharp,0.0,7,9.698219643006003e-05
sharp,0.0,8,0.00012712559301644353
integrated_difference_quotient,0.2,1,3.90593776515528e-06
integrated_difference_quotient,0.2,2,2.0651142233503393e-05
integrated_difference_quotient,0.2,3,2.204853791326811e-05
integrated_difference_quotient,0.2,4,3.55306511936512e-05
integrated_difference_quotient,0.2,5,6.426309013853392e-05
integrated_difference_quotient,0.2,6,7.994042179605344e-05
integrated_difference_quotient,0.2,7,8.153200987910134e-05
integrated_difference_quotient,0.2,8,0.00010227213919883203
integrated_difference_quotient,0.1,1,2.7182071352246317e-06
integrated_difference_quotient,0.1,2,1.9336857973459865e-05
integrated_difference_quotient,0.1,3,2.0789733351246422e-05
integrated_difference_quotient,0.1,4,3.5244354056056314e-05
integrated_difference_quotient,0.1,5,6.312967679099336e-05
integrated_difference_quotient,0.1,6,8.04387279521554e-05
integrated_difference_quotient,0.1,7,8.249095796268898e-05
integrated_difference_quotient,0.1,8,0.00010392190339428883
integrated_difference_quotient,0.05,1,1.601549368427878e-06
integrated_difference_quotient,0.05,2,1.796853305688834e-05
integrated_difference_quotient,0.05,3,1.889448313780836e-05
integrated_difference_quotient,0.05,4,3.37342733621721e-05
integrated_difference_quotient,0.05,5,5.940142609539943e-05
integrated_difference_quotient,0.05,6,7.8415047004215e-05
integrated_difference_quotient,0.05,7,8.211558635554362e-05
integrated_difference_quotient,0.05,8,0.00010419653831367978
integrated_difference_quotient,0.025,1,3.486539587697031e-07
integrated_difference_quotient,0.025,2,1.6218063789484545e-05
integrated_difference_quotient,0.025,3,1.6453641899835653e-05
integrated_difference_quotient,0.025,4,3.252715314091304e-05
integrated_difference_quotient,0.025,5,5.53871557517831e-05
integrated_difference_quotient,0.025,6,8.091169619801238e-05
integrated_difference_quotient,0.025,7,9.170991426720776e-05
integrated_difference_quotient,0.025,8,0.00012128956586302126
