L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,0,0.625,exact,0.0034309894320596365,0.0018001569434780574,0.00162783137597745,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,0,0.625,born,0.003188206326562583,0.001533746837648403,0.0014755151085041117,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,0,1.25,exact,0.0052428627086430635,0.004045499646553012,0.0034872678747632493,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,0,1.25,born,0.004268378456177629,0.0036569460772993083,0.0032528179691117425,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,1,0.625,exact,0.0030023405386318653,0.0018905319603573214,0.0018044273496562425,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,1,0.625,born,0.0023274647953998922,0.0014568103997590668,0.0014614020362808513,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,1,1.25,exact,0.005873387014394561,0.004683490322663618,0.003994622517977072,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,1,1.25,born,0.005117159905264737,0.003781962335539196,0.0033394017421623217,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,2,0.625,exact,0.00032771334448478855,0.0012287619555464103,0.0014423734477660211,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,2,0.625,born,0.00027476722374416017,0.000881886960345476,0.0011321998403972615,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,2,1.25,exact,0.005241981728080359,0.004224352817700437,0.0035939196989925866,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,2,1.25,born,0.004197740988707832,0.0032270603984227678,0.002901690668697518,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,3,0.625,exact,0.00014016111133525002,0.0010681537827742441,0.0011430028920948266,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,3,0.625,born,5.9271751079515275e-05,0.0009479174513687954,0.0010941544053339478,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,3,1.25,exact,0.005731072674373737,0.0032606312810266646,0.0028086209882546335,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,3,1.25,born,0.0054934455606382325,0.0031226331400535726,0.0027558864936034597,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,4,0.625,exact,0.002256850862122187,0.0012378432650435554,0.0012063637366572422,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,4,0.625,born,0.002183408998402394,0.0012507165802870717,0.0012411700844694252,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,4,1.25,exact,0.004112188010435138,0.003169291991908294,0.0027102069680800677,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,4,1.25,born,0.00413741785816308,0.0032392551375816756,0.002798511473515966,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,5,0.625,exact,0.0034765082448163175,0.0021656387534049596,0.002083811231294356,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,5,0.625,born,0.0024574475172534586,0.0016606231437713537,0.001655821133491244,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,5,1.25,exact,0.006135566232931534,0.005398981954685985,0.004584270494566191,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,5,1.25,born,0.006332328893642524,0.004347585036613682,0.003785794759655602,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,6,0.625,exact,0.003286306629876654,0.002898522345919671,0.0024742175298681727,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,6,0.625,born,0.0018487959630155723,0.002039878931525669,0.001918776211496974,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,6,1.25,exact,0.011125412954519649,0.006775790968065957,0.005328005557539759,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,6,1.25,born,0.009298687171250538,0.005426839993837519,0.004385692478234118,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,7,0.625,exact,0.002650347147052023,0.00202273861395922,0.001853051011898154,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,7,0.625,born,0.0019853629384618907,0.0013705652660404664,0.0013875942816558373,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,7,1.25,exact,0.007651637418848936,0.005087127826367584,0.004116846284593321,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,7,1.25,born,0.004863016955719459,0.0037390722345452725,0.0031930443836758987,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,8,0.625,exact,2.9487613574532193e-05,0.0005475098512468022,0.0008197102683226116,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,8,0.625,born,4.5394235818679084e-05,0.0004981679591199363,0.0007693210633016078,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,8,1.25,exact,0.0019287438212632186,0.0024776839926021737,0.002170649081133254,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,8,1.25,born,0.002175040503843111,0.0022701696084025122,0.002050185420506427,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,9,0.625,exact,0.00019353415767690168,0.0005022655982506928,0.0006429759807233973,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,9,0.625,born,0.00011779433266847926,0.00032071441785095527,0.0005135944200043001,40.0,40.0,4,0.002109375,4.366035461425789e-06
