L,N,delta,model,samples,sharp_mean,sharp_var,sharp_std,abel_mean,abel_var,richardson_mean,richardson_var,m_eff,clean_mode_count,born_mean_formula,born_variance_formula,sharp_cv,scaled_sharp_variance,scaled_abel_variance,scaled_richardson_variance,born_variance_relative_error,born_mean_relative_error
8,64,0.625,born,360,0.0021283560984072937,4.982260163195502e-06,0.002232097704670542,0.001333291661570126,8.21424988391302e-07,0.0014089987247605299,3.906766792570296e-07,40.0,4,0.002109375,4.366035461425789e-06,1.0487425982620489,0.0005101834407112195,8.411391881126932e-05,4.000529195591983e-05,0.1411405626944854,0.00899844665234657
8,64,0.625,exact,360,0.002326444707311831,5.885629593450302e-06,0.002426031655492216,0.0015825662499801528,1.0897167473667975e-06,0.0016099170817342765,5.257744773049176e-07,40.0,4,0.002109375,4.366035461425789e-06,1.0428064969123878,0.000602688470369311,0.00011158699493036006,5.3839306476023566e-05,,
8,64,1.25,born,360,0.004251463935832236,7.228949669777736e-06,0.0026886706138494793,0.0036893830068003095,2.4208470945076045e-06,0.003282433684974746,1.3003260111099594e-06,80.0,8,0.00421875,6.3404846191406345e-06,0.6324105424460491,0.0003701222230926201,0.00012394737123878934,6.657669176882992e-05,0.14012573233834627,0.007754414419492901
8,64,1.25,exact,360,0.00463276025579342,8.42658602293587e-06,0.002902858250575779,0.004258209428767463,3.120895579629094e-06,0.0036786511903782026,1.6995297952537365e-06,80.0,8,0.00421875,6.3404846191406345e-06,0.6265936699283453,0.00043144120437431653,0.00015978985367700961,8.701592551699131e-05,,
12,144,0.2777777777777778,born,280,0.0009450905989385006,9.163822585172645e-07,0.0009572785689219541,0.0005411972759212519,1.399209699841405e-07,0.0005971051994378527,6.853279966195731e-08,40.0,4,0.0009375000000000001,8.71582031250004e-07,1.0128960863616068,0.0004750525628153499,7.253503083977843e-05,3.552740334475867e-05,0.05140104506630207,0.00809663886773386
12,144,0.2777777777777778,exact,280,0.0010190392578249283,1.0518258258922207e-06,0.0010255856014454478,0.000632710642830162,1.8227965936754506e-07,0.0006864850281591228,8.911271773085567e-08,40.0,4,0.0009375000000000001,8.71582031250004e-07,1.0064240347663271,0.0005452665081425272,9.449377541613536e-05,4.619603287167558e-05,,
12,144,0.5555555555555556,born,280,0.001856402820865563,1.2375197020421311e-06,0.0011124386284385001,0.001393814247058109,4.3747502821111596e-07,0.0014394188686327712,2.3603599977733154e-07,80.0,8,0.0018750000000000001,1.2890625000000044e-06,0.5992442027855875,0.00032076510676932036,0.00011339352731232127,6.118053114228434e-05,0.039984715991562204,0.009918495538366438
12,144,0.5555555555555556,exact,280,0.002038097305244969,1.5093888688941798e-06,0.0012285718818588435,0.0016242527341994977,5.476273385154212e-07,0.0016345849016202237,2.9921160474883106e-07,80.0,8,0.0018750000000000001,1.2890625000000044e-06,0.602803349328395,0.0003912335948173714,0.00014194500614319718,7.755564795089701e-05,,
12,144,1.1111111111111112,born,280,0.002828504213012289,2.3593430863308496e-06,0.0015360153275051813,0.0034194905926697556,1.0163447925974655e-06,0.0031443787233146657,5.982655338781212e-07,160.0,12,0.0028125000000000008,2.131347656250003e-06,0.5430486263512975,0.00030577086398847806,0.00013171828512063152,7.75352131906045e-05,0.10697242630139137,0.005690386848813646
12,144,1.1111111111111112,exact,280,0.003120215407762308,2.6271324791085545e-06,0.001620843138341448,0.003935194020257352,1.2499003963179195e-06,0.0035167824789524363,7.469519605698444e-07,160.0,12,0.0028125000000000008,2.131347656250003e-06,0.5194651415120891,0.00034047636929246866,0.00016198709136280235,9.680497408985182e-05,,
16,256,0.15625,born,220,0.0005155159135949571,2.377050846703998e-07,0.0004875500842686829,0.0002900896506916221,3.629594284876335e-08,0.000319376984265967,1.832139953022268e-08,40.0,4,0.00052734375,2.767878770828269e-07,0.9457517632554656,0.00038945601072398305,5.946727276341387e-05,3.001778099031684e-05,0.14120124343716053,0.022429082368081433
16,256,0.15625,exact,220,0.0005398877298807684,2.5791987846434055e-07,0.0005078581282842095,0.00032803582119510607,4.33155743812016e-08,0.000361993754124944,2.2143969770241813e-08,40.0,4,0.00052734375,2.767878770828269e-07,0.9406735885558419,0.00042257592887597555,7.09682370661607e-05,3.6280680071564186e-05,,
16,256,0.3125,born,220,0.0010334900675183767,3.57709271703028e-07,0.0005980880133417054,0.0007296804344398037,1.200661654970612e-07,0.0007759423515020929,6.547145449935198e-08,80.0,8,0.0010546875,4.11922931671145e-07,0.5787070743484147,0.00029303543537912053,9.835820277519253e-05,5.363421552586914e-05,0.13161117238162884,0.02009830635294659
16,256,0.3125,exact,220,0.001109361466703454,4.0889047585094516e-07,0.0006394454439988959,0.000828252076281556,1.426589229378921e-07,0.0008764161578977391,7.897574611093001e-08,80.0,8,0.0010546875,4.11922931671145e-07,0.5764085586089926,0.00033496307781709426,0.0001168661896707212,6.469693121407386e-05,,
16,256,0.625,born,220,0.0015181874006563961,6.815280922036904e-07,0.0008255471471719167,0.001694764613167116,2.9554074563373027e-07,0.0017349984179107737,1.7373981217080803e-07,160.0,12,0.00158203125,6.834965944290187e-07,0.543771570502421,0.0002791539065666316,0.00012105348941157592,7.116382706516297e-05,0.0028800468669091493,0.04035561835052498
16,256,0.625,exact,220,0.00163618604717784,7.657237003262292e-07,0.0008750563983688304,0.00195144180194417,3.572125185740139e-07,0.0019494785705209592,2.1255292833038228e-07,160.0,12,0.00158203125,6.834965944290187e-07,0.5348147295829611,0.00031364042765362346,0.00014631424760791609,8.706167944412458e-05,,
16,256,1.25,born,220,0.003690511036991279,1.4900927671125347e-06,0.0012206935598718192,0.004038270041453938,6.379318869742125e-07,0.0036352889668774565,3.8970157751593783e-07,320.0,28,0.0036914062500000002,1.4225478445300714e-06,0.3307654543331213,0.0003051709987046471,0.00013064845045231873,7.981088307526407e-05,0.04748165261518944,0.00024251273040490394
16,256,1.25,exact,220,0.004071377760329577,1.8290775830524274e-06,0.00135243394775953,0.004612438110005024,8.063651402003399e-07,0.0040416989726879795,4.905249503706686e-07,320.0,28,0.0036914062500000002,1.4225478445300714e-06,0.3321809046896328,0.0003745950890091371,0.0001651435807130296,0.00010045950983591293,,
20,400,0.1,born,160,0.000355233888514933,1.0032804264250148e-07,0.00031674602229941494,0.00019265255685019456,1.4425086447997636e-08,0.00020916114396934393,7.156379604275602e-09,40.0,4,0.0003375,1.135645312499986e-07,0.8916548576589417,0.0004013121705700059,5.770034579199054e-05,2.862551841710241e-05,0.11655477693434574,0.052544854859060706
20,400,0.1,exact,160,0.00037849486437518487,1.1601415886695193e-07,0.00034060851261668716,0.00021762087758999709,1.7544774397893128e-08,0.00023693465663123572,8.66246162771148e-09,40.0,4,0.0003375,1.135645312499986e-07,0.8999026002082219,0.00046405663546780773,7.017909759157251e-05,3.464984651084592e-05,,
20,400,0.2,born,160,0.0006706981671395198,1.3524593457884733e-07,0.00036775798370510915,0.0004805642509727816,4.708214164187868e-08,0.0005055368588637413,2.5334864916215357e-08,80.0,8,0.000675,1.6949249999999876e-07,0.5483211401539546,0.00027049186915769464,9.416428328375735e-05,5.066972983243071e-05,0.20205357417674344,0.006373085719229915
20,400,0.2,exact,160,0.0007163112175069706,1.492954947620712e-07,0.00038638775182719135,0.0005423917637880336,5.496691763566913e-08,0.0005707827541710804,3.0034153713188714e-08,80.0,8,0.000675,1.6949249999999876e-07,0.5394132360120848,0.0002985909895241424,0.00010993383527133827,6.006830742637743e-05,,
20,400,0.4,born,160,0.0010551248910656533,3.1698781197262796e-07,0.0005630167066549873,0.00108745531828177,1.1449270035276514e-07,0.0011291755708699833,6.68832164424496e-08,160.0,12,0.0010125000000000002,2.8169015624999914e-07,0.5336019569080136,0.00031698781197262793,0.00011449270035276514,6.688321644244959e-05,0.1253066709626241,0.04209865784262037
20,400,0.4,exact,160,0.001134829894892384,3.4334101033659407e-07,0.000585953078613462,0.0012387300685085898,1.3397294287041562e-07,0.0012709736433441023,7.902518249622214e-08,160.0,12,0.0010125000000000002,2.8169015624999914e-07,0.5163356034685956,0.00034334101033659404,0.0001339729428704156,7.902518249622214e-05,,
20,400,0.8,born,160,0.0020806736707782935,5.019074541703427e-07,0.0007084542710509569,0.0024437004350526268,2.463642213863686e-07,0.0023943876707036424,1.5106306353768394e-07,320.0,24,0.0020250000000000003,4.832448739648565e-07,0.34049273607905733,0.0002509537270851713,0.00012318211069318427,7.553153176884197e-05,0.03861930298890953,0.027493170754712668
20,400,0.8,exact,160,0.002572721151879644,6.793075460000148e-07,0.0008242011562719472,0.002807692406306593,2.985823260553902e-07,0.0026770924956980692,1.8093716045029748e-07,320.0,24,0.0020250000000000003,4.832448739648565e-07,0.320361635643949,0.00033965377300000736,0.0001492911630276951,9.046858022514873e-05,,
24,576,0.06944444444444445,born,120,0.00022618948685398916,5.132523624739619e-08,0.00022655073658541962,0.00012576025223666717,7.501039701143173e-09,0.00013624478445025288,3.6418752183112447e-09,40.0,4,0.00023437500000000002,5.4817199707030955e-08,1.0015971110614157,0.00042571203953040295,6.221662369716194e-05,3.0207169810760787e-05,0.0637019672346904,0.03492485608964634
24,576,0.06944444444444445,exact,120,0.00024857146131489406,6.207755491439511e-08,0.00024915367730458064,0.0001454566592926595,9.9662914791473e-09,0.0001570446247526115,4.882701628516114e-09,40.0,4,0.00023437500000000002,5.4817199707030955e-08,1.002342247925835,0.0005148960714819588,8.266440804463936e-05,4.049908038756406e-05,,
24,576,0.1388888888888889,born,120,0.00045744661962638565,7.082746824663224e-08,0.0002661343049038065,0.00031242387841634974,2.2889688584573394e-08,0.00033032785531341205,1.2461068706103778e-08,80.0,8,0.00046875000000000004,8.19396972656247e-08,0.5817822090830371,0.0002937356763124332,9.492811649794279e-05,5.167854413795358e-05,0.13561471899230773,0.02411387813037735
24,576,0.1388888888888889,exact,120,0.0005012401874300501,9.088106329108092e-08,0.0003014648624484799,0.00035888220502117564,3.020478254037556e-08,0.0003786185170677444,1.6561309281918966e-08,80.0,8,0.00046875000000000004,8.19396972656247e-08,0.6014379333671254,0.0003769019456807708,0.00012526527415144552,6.868306185397434e-05,,
24,576,0.2777777777777778,born,120,0.0006761109594120336,1.170279150768036e-07,0.00034209343033271425,0.0007010636869227288,4.988915839292898e-08,0.000742496380910151,3.08657532906574e-08,160.0,12,0.0007031250000000001,1.3629913330078106e-07,0.5059723194403016,0.00024266908470325994,0.00010345015884357753,6.400322602350718e-05,0.14138914721820187,0.038419968836218996
24,576,0.2777777777777778,exact,120,0.0007433720226710253,1.426229399741918e-07,0.00037765452463090095,0.0008065620376802235,6.638546134600596e-08,0.0008467622911925353,4.084509338759662e-08,160.0,12,0.0007031250000000001,1.3629913330078106e-07,0.5080289721880341,0.0002957429283304841,0.00013765689264707794,8.469638564852034e-05,,
24,576,0.5555555555555556,born,120,0.001368085102164927,1.7234937495178004e-07,0.00041514982229525285,0.0015479189100259243,1.010618193389559e-07,0.001599068139902356,6.537604577328489e-08,320.0,24,0.0014062500000000004,2.350194163268102e-07,0.3034532147439504,0.00017869183195000552,0.00010478089429062947,6.778188425774178e-05,0.2666589950503633,0.027139482904941125
24,576,0.5555555555555556,exact,120,0.0015711361476278807,2.4991256891855306e-07,0.0004999125612730221,0.0017937170773199501,1.3073696788089325e-07,0.0018103496748921866,8.522520711305954e-08,320.0,24,0.0014062500000000004,2.350194163268102e-07,0.3181853857972753,0.0002591093514547558,0.00013554808829891013,8.836149473482013e-05,,
